keys,en,vi
UI_LEVEL_FORMAT,LEVEL %02d  •  %s,MÀN %02d  •  %s
UI_NEXT,NEXT,TIẾP
UI_WAITING_BUFFER,WAITING BUFFER,KHU CHỜ
UI_TUTORIAL_TAP,TAP THE GLOWING SWITCH,CHẠM VÀO CÔNG TẮC ĐANG SÁNG
UI_FLOW_CLEARED,FLOW CLEARED,THÔNG TUYẾN
UI_PERFECT_ROUTING,Perfect routing  •  %.1fs,Định tuyến hoàn hảo  •  %.1fs
UI_RESULT_FORMAT,%s  •  %.1fs,%s  •  %.1fs
UI_RECOVERY_ONE,1 recovery,1 lần cứu
UI_RECOVERY_MANY,%d recoveries,%d lần cứu
UI_NEXT_LEVEL,NEXT LEVEL,MÀN SAU
UI_REPLAY,REPLAY,CHƠI LẠI
UI_BUFFER_FULL,BUFFER FULL,KHU CHỜ ĐẦY
UI_TRY_AGAIN,TRY AGAIN,THỬ LẠI
UI_PAUSED,PAUSED,TẠM DỪNG
UI_PAUSE_HINT,Plan the next switches before the line starts moving again.,Tính trước các công tắc kế tiếp trước khi dây chuyền chạy lại.
UI_RESUME,RESUME,TIẾP TỤC
UI_RESTART_LEVEL,RESTART LEVEL,CHƠI LẠI MÀN
UI_SOUND,SOUND  %s,ÂM THANH  %s
UI_HAPTIC,HAPTIC  %s,RUNG  %s
UI_REDUCED_MOTION,MOTION  %s,CHUYỂN ĐỘNG  %s
UI_TEXT_SIZE,TEXT  %s,CỠ CHỮ  %s
UI_GAME_SPEED,SPEED  %s,TỐC ĐỘ  %s
UI_ON,ON,BẬT
UI_OFF,OFF,TẮT
UI_FULL,FULL,ĐẦY
UI_REDUCED,REDUCED,GIẢM
UI_LARGE,LARGE,LỚN
UI_NORMAL,NORMAL,THƯỜNG
UI_RESTART_TOOLTIP,Restart,Chơi lại
UI_PAUSE_TOOLTIP,Pause,Tạm dừng
UI_DEBUG_PREV,DEBUG  PREV LEVEL,DEBUG  MÀN TRƯỚC
UI_DEBUG_NEXT,DEBUG  NEXT LEVEL,DEBUG  MÀN SAU
